id,query,road,house_number
7203220400,"47.6848,-122.016",242nd Way Northeast,9704
9270200160,"47.6413,-122.364",West Smith Street,507
1432701230,"47.4485,-122.175",Southeast 172nd Street,12505
8035350320,"47.7443,-121.977",270th Place Northeast,NA
8945200830,"47.3066,-122.371",Southwest 330th Street,2902
4178300310,"47.6194,-122.151",Northeast 8th Street,NA
9215400105,"47.6796,-122.301",25th Avenue Northeast,7001
822039084,"47.4041,-122.451",NA,NA
5245600105,"47.4258,-122.322",10th Avenue South,19626
7231300125,"47.4934,-122.189",Blaine Avenue Northeast,663
7518505990,"47.6808,-122.384",22nd Avenue Northwest,7040
3626039271,"47.6989,-122.369",9th Avenue Northwest,9527
4217401195,"47.6571,-122.281",43rd Avenue Northeast,3848
9822700295,"47.6597,-122.29",Northeast 43rd Street,3503
9478500640,"47.3663,-122.114",Southeast 263rd Street,17025
2799800710,"47.3663,-122.122",Southeast 263rd Street,16426
7922800400,"47.588,-122.116",Southeast 26th Street,16855
8079040320,"47.5059,-122.149",Ilwaco Avenue Northeast,1520
1516000055,"47.4336,-122.339",Southwest 189th Place,233
9558200045,"47.4366,-122.335",1st Avenue South,NA
5072410070,"47.4428,-122.344",6th Place Southwest,17551
9528102996,"47.6765,-122.32",8th Avenue Northeast,NA
1189001180,"47.6113,-122.297",27th Avenue,942
3253500160,"47.5747,-122.304",22nd Avenue South,3214
3394100030,"47.5815,-122.192",111th Avenue Southeast,NA
3717000160,"47.3378,-122.257",South 295th Court,6110
1274500060,"47.3621,-122.11",Southeast 267th Place,17235
1802000060,"47.6303,-122.215",94th Avenue Northeast,2178
1525059190,"47.6525,-122.16",Northeast 50th Street,13511
1049000060,"47.7362,-122.179",Northeast 149th Place,12206
8820901275,"47.7168,-122.287",38th Avenue Northeast,12042
5416510140,"47.3608,-122.036",Southeast 269th Street,22840
3444100400,"47.3511,-122.073",201st Avenue Southeast,27710
3276920270,"47.5822,-121.987",263rd Place Southeast,3040
4036801170,"47.6034,-122.125",Southeast 7th Street,16111
2391600320,"47.5636,-122.394",48th Avenue Southwest,4441
6300000287,"47.7073,-122.34",Interlake Avenue North,10710
1531000030,"47.342,-122.025",Black Bear Trail,NA
5104520400,"47.3512,-122.008",Maple Ridge Way Southeast,27989
7437100340,"47.349,-122.031",233rd Avenue Southeast,28155
9418400240,"47.5474,-122.291",32nd Avenue South,6018
1523059105,"47.4811,-122.149",143rd Avenue Southeast,14241
1133000671,"47.7264,-122.31",Northeast 135th Street,1715
4232902595,"47.6337,-122.365",6th Avenue West,NA
2599001200,"47.2909,-122.189",Fir Street Southeast,2020
3342103156,"47.5228,-122.199",Meadow Avenue North,3419
1332700270,"47.518,-122.194",Kennewick Place Northeast,2906
3869900162,"47.5394,-122.387",California Avenue Southwest,7106
2791500270,"47.2897,-122.372",Southwest 349th Place,3002
5036300431,"47.6506,-122.391",West Bertona Street,2650
4168000060,"47.322,-122.351",12th Avenue Southwest,31218
6021501535,"47.687,-122.386",Jones Avenue Northwest,8002
1483300570,"47.5873,-122.249",64th Avenue Southeast,2688
3422049190,"47.3576,-122.277",South 272nd Street,4419
1099611230,"47.3036,-122.378",36th Avenue Southwest,33209
722079104,"47.4109,-121.958",290th Avenue Southeast,21315
7338200240,"47.4838,-121.714",470th Avenue Southeast,12711
1952200240,"47.6415,-122.315",Boyer Avenue East,2509
5200100125,"47.6775,-122.372",12th Avenue Northwest,6549
7214720075,"47.7731,-122.08",194th Avenue Northeast,20088
2450000295,"47.5814,-122.196",108th Avenue Southeast,3190
6197800045,"47.4375,-122.184",118th Avenue Southeast,18415
1328310370,"47.4431,-122.133",Southeast 177th Place,15616
546000875,"47.6878,-122.38",18th Avenue Northwest,8026
3530510041,"47.3813,-122.322",9th Place South,24521
1853000400,"47.7304,-122.082",Northeast 143rd Place,19166
3134100116,"47.6417,-122.109",173rd Court Northeast,3500
9545230140,"47.5386,-122.053",Northwest Honeywood Court,900
3362400511,"47.6823,-122.349",North 74th Street,719
2525310310,"47.3624,-122.031",233rd Court Southeast,26707
6126500060,"47.5474,-122.295",Chief Sealth Trail,NA
8961960160,"47.3183,-122.253",R Street Northwest,1119
3626039325,"47.6981,-122.368",Northwest 95th Street,820
3362400431,"47.6824,-122.347",North 74th Street,767
4060000240,"47.5009,-122.248",69th Place South,11440
3454800060,"47.4965,-122.303",Military Road South,11834
1695900060,"47.587,-122.294",30th Avenue South,1733
7278700070,"47.7728,-122.386",Northwest 197th Street,NA
6675500070,"47.7288,-122.226",Northeast 142nd Street,8621
3626039187,"47.6999,-122.364",Northwest 97th Street,612
3524049083,"47.5299,-122.266",Seward Park Avenue South,7958
3275860240,"47.6897,-122.098",Northeast 99th Way,18322
4389200955,"47.6141,-122.212",Northeast 1st Street,9616
4058801670,"47.5091,-122.244",South Rustic Road,7218
8732020310,"47.3129,-122.39",44th Place Southwest,32219
2331300505,"47.6763,-122.352",North 65th Street,512
7853210060,"47.5319,-121.85",Southeast Gravenstein Court,36796
3668000070,"47.2761,-122.152",37th Street Southeast,5805
9545240070,"47.5343,-122.054",Jasmine Place Northwest,NA
1243100136,"47.697,-122.072",NA,NA
8929000270,"47.5517,-121.998",Northeast Logan Street,NA
2767602356,"47.6734,-122.38",Northwest 61st Street,1722
921049315,"47.3257,-122.296",South 308th Lane,2833
3655000070,"47.3309,-122.299",26th Place South,30204
4027700812,"47.7689,-122.266",59th Place Northeast,19311
3992700335,"47.7135,-122.287",Northeast 117th Street,3825
2767603505,"47.6722,-122.381",Northwest 60th Street,1749
4232901525,"47.6338,-122.358",1st Avenue West,1604
1777500060,"47.5707,-122.128",Southeast 42nd Place,15954
1432900240,"47.4563,-122.171",Southeast 164th Street,12759
6140100875,"47.7144,-122.351",Evanston Avenue North,11700
6071600370,"47.5495,-122.174",125th Avenue Southeast,6026
1526069017,"47.7421,-122.026",Northeast 156th Place,NA
809001525,"47.6354,-122.353",2nd Avenue North,1816
3224079105,"47.5262,-121.943",299th Place Southeast,8415
8075400570,"47.3887,-122.286",South 239th Street,3704
1994200024,"47.6873,-122.336",Wallingford Avenue North,8012
3362900810,"47.6838,-122.353",North 76th Street,355
1324300398,"47.655,-122.359",2nd Avenue Northwest,3952
537000445,"47.3255,-122.304",South 308th Street,2223
7855801670,"47.562,-122.162",Somerset Drive Southeast,4671
7920100045,"47.679,-122.3",26th Avenue Northeast,6849
8960000030,"47.4479,-122.176",125th Avenue Southeast,17229
6388930390,"47.525,-122.172",Southeast 86th Place,12703
8731900200,"47.3135,-122.369",Southwest 322nd Street,2719
8029200135,"47.2086,-121.996",Lafromboise Street,1857
1081200350,"47.4715,-122.118",166th Place Southeast,14538
84000105,"47.4877,-122.335",Southwest 129th Street,105
3756500060,"47.7171,-122.193",111th Avenue Northeast,13024
7215720160,"47.6012,-122.023",Southeast 8th Street,24009
3574800520,"47.7319,-122.224",88th Avenue Northeast,14413
2617300160,"47.4582,-122.023",239th Avenue Southeast,16037
2558660270,"47.7209,-122.168",129th Place Northeast,13415
2009000370,"47.408,-122.327",Des Moines Creek Trail,21619
1836980160,"47.565,-122.125",Southeast 45th Court,16000
3261020370,"47.7028,-122.231",Northeast 115th Way,8236
1755700060,"47.7458,-122.331",North 161st Street,2362
4330600435,"47.4776,-122.337",2nd Avenue Southwest,14003
9542800700,"47.3026,-122.374",33rd Place Southwest,33406
1999700045,"47.7658,-122.339",Densmore Avenue North,18840
1762600070,"47.6477,-122.182",118th Avenue Northeast,4114
1687900520,"47.5619,-122.125",161st Avenue Southeast,4652
7234600798,"47.6106,-122.31",17th Avenue,904
3881900445,"47.5868,-122.308",19th Avenue South,1806
2254502445,"47.6101,-122.307",East Marion Street,1915
5437810320,"47.1976,-121.999",Harmony Lane,811
9158100075,"47.7224,-122.358",1st Avenue Northwest,12732
3830630310,"47.3505,-122.179",Southeast 280th Court,12128
8123100045,"47.5384,-122.376",35th Avenue Southwest,7000
3127200041,"47.7044,-122.2",106th Avenue Northeast,11611
6661200320,"47.3848,-122.039",Southeast 242nd Street,22730
11510310,"47.6993,-122.102",178th Court Northeast,11299
825059270,"47.6627,-122.188",114th Avenue Northeast,6206
8731951370,"47.3099,-122.379",36th Avenue Southwest,32621
1954440060,"47.62,-122.043",Northeast 11th Place,22354
2264500350,"47.65,-122.34",Ashworth Avenue North,3526
1115810060,"47.6647,-122.153",140th Place Northeast,NA
9477200200,"47.726,-122.191",113th Avenue Northeast,14004
1432600560,"47.4616,-122.184",118th Avenue Southeast,15859
2287000060,"47.5505,-122.219",Southeast 58th Street,9051
3663500060,"47.7606,-122.336",Burke Avenue North,18008
3996900125,"47.7481,-122.3",27th Avenue Northeast,16400
7796450200,"47.2779,-122.347",Southwest 361st Street,833
7549802535,"47.5511,-122.312",16th Avenue South,5802
3278600320,"47.5488,-122.372",31st Avenue Southwest,5942
2824079053,"47.5385,-121.911",Preston Fall City Road Southeast,NA
1222069094,"47.4058,-121.994",260th Avenue Southeast,21820
3542300060,"47.5093,-122.184",Northeast 20th Street,2625
2222059065,"47.3777,-122.165",132nd Avenue Southeast,25002
7551300060,"47.675,-122.394",Northwest 64th Street,2823
100600550,"47.3025,-122.37",28th Place Southwest,33400
3211100860,"47.4787,-122.158",Southeast 4th Place,4519
3456000310,"47.5378,-122.219",Southeast 72nd Place,9061
9526600140,"47.7073,-122.114",Northeast 120th Street,16978
7465900060,"47.5733,-122.381",Southwest Hinds Street,3816
1222000055,"47.4604,-122.339",4th Avenue Southwest,15836
6300000550,"47.7067,-122.343",Midvale Avenue North,10556
2310030510,"47.354,-122.047",221st Avenue Southeast,27611
1025049114,"47.6647,-122.284",41st Avenue Northeast,4059
8677300550,"47.6143,-122.017",Northeast 5th Place,24295
4014400292,"47.3185,-122.275",47th Court South,31705
1102000196,"47.5458,-122.268",South Graham Street,5149
257000138,"47.4889,-122.299",South 128th Street,2616
46100204,"47.5673,-122.21",Cedar Cove Road,NA
1909600046,"47.5133,-122.379",37th Avenue Southwest,10010
1250202145,"47.5884,-122.291",32nd Avenue South,1534
7611200125,"47.7145,-122.367",Northwest 118th Street,817
5611500140,"47.5836,-122.026",Southeast 28th Court,23417
7138000260,"47.398,-122.299",South 227th Place,2640
626059335,"47.7663,-122.215",Northeast 191st Street,9311
1922059282,"47.3758,-122.217",East Chicago Street,1322
705700390,"47.3828,-122.023",Southeast 245th Street,23844
7454001200,"47.5123,-122.373",32nd Place Southwest,10111
8682281200,"47.7076,-122.013",Big Leaf Way NE,12220
7972000200,"47.2922,-122.371",30th Avenue Southwest,34434
722059070,"47.4075,-122.214",94th Place South,21648
7202340400,"47.6794,-122.034",229th Drive Northeast,8632
8096000060,"47.4497,-122.375",Southwest 172nd Street,3316
2424000060,"47.5218,-122.164",132nd Place Southeast,9007
9264902050,"47.3103,-122.339",Southwest 325th Place,229
943100260,"47.5687,-121.899",Southeast 42nd Street,33119
3677400445,"47.5575,-122.303",24th Avenue South,4921
1762600320,"47.6489,-122.183",118th Avenue Northeast,4143
4058000060,"47.3459,-121.95",296th Avenue Southeast,28425
7228500560,"47.6136,-122.303",23rd Avenue,1419
326069104,"47.7641,-122.023",Northeast 188th Street,23726
5152100060,"47.3376,-122.324",South 295th Place,806
3584000310,"47.3173,-122.319",South 317th Street,1035
8150100045,"47.5308,-122.376",35th Avenue Southwest,7936
1868901275,"47.6727,-122.299",27th Avenue Northeast,6017
6131600075,"47.3221,-122.216",16th Street Northeast,1032
9468200125,"47.6779,-122.353",Dayton Avenue North,6701
8029510030,"47.3076,-122.395",49th Avenue Southwest,32830
2025069065,"47.6338,-122.072",East Lake Sammamish Trail,NA
7899800890,"47.5218,-122.357",17th Avenue Southwest,9033
3021059276,"47.2785,-122.213",M Place Southeast,3307
3797001895,"47.6846,-122.345",North 77th Street,949
3832710960,"47.3656,-122.278",South 263rd Street,4424
1310430400,"47.4369,-122.111",172nd Court Southeast,18416
1422300030,"47.4616,-121.711",472nd Place Southeast,NA
1105000588,"47.5405,-122.27",51st Avenue South,6903
3830630060,"47.3507,-122.178",122nd Place Southeast,28015
5101404898,"47.6979,-122.32",Northeast 95th Street,800
7972601890,"47.5278,-122.345",8th Avenue Southwest,8414
5127001620,"47.4756,-122.147",Southeast 142nd Street,14506
9407100800,"47.4437,-121.772",426th Avenue Southeast,17404
1873100060,"47.7048,-122.109",Northeast 117th Street,17219
8722101360,"47.6362,-122.302",23rd Avenue East,1822
8644000060,"47.4207,-122.29",South 203rd Street,3410
3325069129,"47.6154,-122.047",219th Avenue Northeast,696
1400300055,"47.5964,-122.299",26th Avenue South,711
2123039032,"47.4683,-122.438",Southwest Hawthorne Lane,8232
8078560140,"47.4045,-122.171",127th Court Southeast,22020
3438500192,"47.5544,-122.358",19th Avenue Southwest,5248
7974200510,"47.6802,-122.29",35th Avenue Northeast,7024
2557000400,"47.2988,-122.371",27th Place Southwest,33745
7960900060,"47.6312,-122.223",88th Place Northeast,2175
4054500390,"47.7285,-122.042",Tolt Pipeline Trail,NA
6378500125,"47.7107,-122.352",Evanston Avenue North,11203
1745100140,"47.3271,-122.323",8th Place South,30621
2976800796,"47.5053,-122.255",63rd Avenue South,10658
4235400186,"47.6601,-122.4",West Government Way,3304
4215100060,"47.4145,-122.166",Southeast 209th Court,13021
9189700045,"47.4672,-122.165",Southeast 151st Street,13215
1126049053,"47.7618,-122.261",62nd Avenue Northeast,18425
2022069200,"47.3828,-122.071",Southeast 245th Street,20236
9412900055,"47.5362,-122.268",Seward Park Avenue South,7323
1722059235,"47.3954,-122.206",100th Avenue Southeast,23028
6874200960,"47.5048,-122.272",49th Avenue South,10908
7424700045,"47.6166,-122.287",36th Avenue,1700
7202360350,"47.6811,-122.025",236th Avenue Northeast,8925
5634500392,"47.7486,-122.23",Northeast 166th Street,8227
1509500060,"47.3846,-122.169",129th Avenue Southeast,24224
7214810350,"47.7564,-122.144",147th Avenue Northeast,NA
6647200060,"47.7198,-122.193",111th Court Northeast,13240
9552700140,"47.5461,-122.151",Southeast 63rd Street,14217
2200500350,"47.5712,-122.143",Southeast Newport Way,14580
6113400046,"47.4281,-122.343",Normandy Park Drive Southwest,19412
6619910140,"47.7128,-122.223",89th Court Northeast,12519
1115450240,"47.3341,-122.255",South 299th Street,6415
6073240060,"47.5399,-122.181",119th Place Southeast,6933
9297300045,"47.5717,-122.375",33rd Avenue Southwest,3608
9510920070,"47.5951,-122.017",Southeast 16th Place,24166
5468730030,"47.3536,-122.144",Southeast 276th Place,14675
8079030390,"47.5084,-122.154",Northeast 18th Street,4809
600000152,"47.5586,-122.311",17th Avenue South,4915
1840000030,"47.4427,-122.274",Military Road South,17904
3225069065,"47.6053,-122.077",East Lake Sammamish Trail,NA
3260800030,"47.3494,-122.301",26th Avenue South,28089
2747100024,"47.6933,-122.393",28th Avenue Northwest,8817
5104530560,"47.3537,-122.0",256th Place Southeast,27661
4330600350,"47.476,-122.337",Southwest 142nd Street,209
5016001535,"47.6239,-122.298",27th Avenue East,443
7280300196,"47.7776,-122.384",Northwest 204th Street,2110
8651520400,"47.6459,-122.058",Northeast 42nd Street,21192
7171200445,"47.6692,-122.297",28th Avenue Northeast,5520
3204800200,"47.5376,-122.18",Southeast 73rd Place,12001
3416600800,"47.601,-122.294",30th Avenue South,119
7994700030,"47.529,-121.837",Southeast 80th Street,37800
1860600135,"47.6345,-122.367",West Blaine Street,709
4139480200,"47.5503,-122.102",Southeast 58th Place,17874
1328320800,"47.4441,-122.125",Southeast 176th Place,16207
7771300125,"47.7357,-122.333",North 147th Street,2196
3422059208,"47.346,-122.157",138th Place Southeast,28506
9521101455,"47.6638,-122.345",North 48th Street,1022
4337000335,"47.48,-122.336",2nd Avenue Southwest,13700
325059286,"47.6759,-122.151",142nd Avenue Northeast,8098
2597650240,"47.5162,-122.057",Sierra Court Southwest,3243
3353400435,"47.2639,-122.252",3rd Avenue Southwest,123
7972000240,"47.2929,-122.371",30th Avenue Southwest,34410
7520000520,"47.4957,-122.352",Southwest 120th Street,1326
3530210260,"47.7721,-122.093",Northeast 199th Place,18300
1959700550,"47.644,-122.319",11th Avenue East,2625
1665400045,"47.472,-122.344",Southwest 146th Street,721
9542850320,"47.592,-122.166",Southeast 21st Place,13042
3179100060,"47.669,-122.275",Pullman Avenue Northeast,4815
2946001550,"47.42,-122.323",9th Avenue South,20238
8078490390,"47.1913,-122.012",Almadon Street,121
9550201550,"47.6666,-122.331",Keystone Place North,5126
191100045,"47.5639,-122.217",Southeast 46th Street,9140
5009600070,"47.3483,-122.052",Southeast 283rd Street,21656
200350070,"47.7648,-122.164",132nd Avenue Northeast,18999
2877103726,"47.6794,-122.357",North 70th Street,109
405100295,"47.7535,-122.354",North 171st Street,NA
4268200055,"47.4945,-122.22",South 121st Street,8916
3126069068,"47.6945,-122.093",Avondale Road Northeast,10612
1115300070,"47.5222,-122.157",138th Avenue Southeast,8911
6414100671,"47.7222,-122.32",Northeast 128th Street,819
7004200060,"47.3796,-122.49",Southwest 250th Way,12100
7852110140,"47.5374,-121.875",Curtis Drive Southeast,7089
3969300030,"47.4897,-122.24",74th Place South,12646
4048400070,"47.4716,-122.078",196th Avenue Southeast,14602
808000070,"47.3581,-122.173",Southeast 270th Street,12613
7374200030,"47.7713,-122.307",21st Avenue Northeast,19599
7325600160,"47.675,-121.854",361st Avenue Northeast,NA
2757000030,"47.5603,-122.222",Southeast 48th Street,8770
616000140,"47.4147,-122.337",2nd Place Southwest,20853
3363900111,"47.68,-122.353",Dayton Avenue North,7011
9262800171,"47.3117,-122.27",South 324th Street,5124
6607000126,"47.543,-122.28",43rd Avenue South,6609
5416510830,"47.3607,-122.034",230th Place Southeast,26830
2201500030,"47.5759,-122.137",Southeast 38th Place,15354
325059171,"47.6891,-122.159",Northeast 100th Street,13641
952003285,"47.565,-122.381",39th Avenue Southwest,4150
3211290370,"47.6359,-121.974",273rd Avenue Northeast,3092
1072010350,"47.4769,-122.141",149th Place Southeast,14024
8856950070,"47.3845,-122.029",234th Way Southeast,24220
925059078,"47.6743,-122.184",116th Avenue Northeast,7632
7855801090,"47.5651,-122.164",132nd Avenue Southeast,4479
723099065,"47.4853,-121.709",473rd Avenue Southeast,12626
6116500075,"47.4508,-122.359",Southwest 170th Street,1928
1118500030,"47.6375,-122.016",Northeast 30th Place,24190
424069250,"47.5944,-122.042",223rd Avenue Southeast,1722
3291800710,"47.4888,-122.182",Northeast 4th Court,2719
6838700060,"47.5112,-122.19",Aberdeen Place Northeast,2118
2231500030,"47.7711,-122.341",North 196th Street,1301
7683900200,"47.2813,-122.345",8th Avenue Southwest,35638
8155830060,"47.5038,-122.189",Blaine Avenue Northeast,1260
98020310,"47.5823,-121.97",278th Avenue Southeast,2949
9423400140,"47.7164,-122.304",23rd Avenue Northeast,12016
1545804860,"47.3624,-122.045",221st Avenue Southeast,26628
2883200160,"47.6831,-122.329",North 75th Street,2405
7132300695,"47.592,-122.307",Hiawatha Place South,1126
1726059053,"47.7461,-122.195",108th Place Northeast,10919
624111000,"47.7268,-122.06",Northeast 141st Street,20818
808300310,"47.7237,-121.959",283rd Court Northeast,13899
8563040160,"47.6283,-122.095",183rd Avenue Northeast,2026
713500030,"47.5543,-122.148",145th Place Southeast,5298
8651600160,"47.5483,-122.226",85th Place Southeast,6192
9517200030,"47.7591,-122.146",145th Place Northeast,18152
2460700700,"47.4612,-122.169",Southeast 158th Place,12902
1223039290,"47.4987,-122.365",26th Avenue Southwest,11614
2890100060,"47.772,-122.358",1st Avenue Northwest,19722
7972600860,"47.5287,-122.35",12th Avenue Southwest,8146
8857320070,"47.6109,-122.114",Northeast 2nd Place,17071
4047200695,"47.7736,-121.901",Northeast 202nd Street,32666
1653500070,"47.6294,-122.218",92nd Avenue Northeast,2103
1923000030,"47.5634,-122.213",Southeast 46th Street,9360
3649100320,"47.7405,-122.241",75th Avenue Northeast,15415
7375300160,"47.5976,-122.118",Southeast 15th Street,16646
5175800060,"47.5722,-122.129",158th Avenue Southeast,4121
1604601375,"47.5644,-122.289",South Genesee Street,3508
2473251090,"47.4556,-122.157",Southeast Fairwood Boulevard,13805
9126100861,"47.6055,-122.305",21st Avenue,NA
3420069065,"47.1775,-122.022",Southeast 472nd Street,23849
6021501685,"47.6879,-122.385",23rd Avenue Northwest,8034
1151100070,"47.4807,-121.779",Southeast 133rd Street,42000
8856950240,"47.3845,-122.032",231st Place Southeast,24226
9385200055,"47.5815,-122.402",Wickstrom Place Southwest,2434
7821200390,"47.6609,-122.344",Midvale Avenue North,4451
8078520310,"47.3163,-122.188",Southeast 319th Street,11547
1565950030,"47.4309,-122.191",113th Way Southeast,19117
1560930070,"47.401,-122.026",Southeast 221st Street,23633
6700400140,"47.404,-122.191",112th Place Southeast,22116
2422029094,"47.3889,-122.482",115th Avenue Southwest,23995
1774220160,"47.7718,-122.095",Northeast 200th Street,18261
1525200060,"47.7067,-122.2",106th Avenue Northeast,11815
1678400105,"47.504,-122.227",Rainier Avenue South,11005
3426059070,"47.7015,-122.164",Northeast 112th Place,13221
824079032,"47.5753,-121.95",295th Avenue Southeast,3701
2697100140,"47.7448,-122.333",North 160th Street,2221
8724300030,"47.7318,-121.982",267th Court Northeast,14407
8678500060,"47.5954,-121.95",Southeast 15th Place,NA
625049299,"47.6885,-122.337",North 82nd Street,1713
6073200075,"47.5724,-122.179",Southeast 42nd Street,12115
6388900710,"47.5272,-122.169",Southeast 84th Street,12831
1442860160,"47.4334,-122.161",Southeast 189th Place,13518
7942600310,"47.6073,-122.308",19th Avenue,537
1545808560,"47.3592,-122.046",Southeast 271st Street,22054
936000060,"47.4546,-122.337",3rd Avenue Southwest,16420
9808650060,"47.6408,-122.219",Northeast 33rd Street,9006
3754700160,"47.7245,-122.2",Northeast 139th Street,10521
305500140,"47.4362,-122.178",Southeast 186th Street,12152
5468750060,"47.3739,-122.156",139th Avenue Southeast,25405
2944010240,"47.7205,-122.127",160th Avenue Northeast,13355
3454000060,"47.6636,-122.33",Sunnyside Avenue North,4632
646910160,"47.4324,-122.197",108th Avenue Southeast,18865
8564950390,"47.7734,-122.224",Northeast 201st Place,8625
2268400350,"47.559,-122.164",Southeast 49th Street,13221
7504101040,"47.633,-122.041",224th Place Northeast,2599
11500890,"47.6954,-122.103",Northeast 107th Court,17722
9528102772,"47.6776,-122.318",Roosevelt Way Northeast,6709
284000223,"47.504,-122.382",39th Avenue Southwest,11001
3353401710,"47.2613,-122.255",5th Avenue Southwest,200
8159610030,"47.3417,-122.271",51st Avenue South,28970
3179100435,"47.6694,-122.275",Pullman Avenue Northeast,4816
822079033,"47.4056,-121.955",293rd Avenue Southeast,21665
8857600960,"47.3838,-122.289",35th Avenue South,24317
1774000200,"47.7487,-122.082",Avondale Road Northeast,16603
2024069128,"47.5534,-122.078",Northwest Pinecone Place,2786
1049010390,"47.7355,-122.18",Northeast 149th Street,12119
7905370390,"47.7206,-122.211",Northeast 134th Place,9767
4140090240,"47.7691,-122.262",Northeast 194th Place,6149
4055700030,"47.7183,-122.258",Holmes Point Drive Northeast,13130
3775300030,"47.7736,-122.214",95th Place Northeast,20021
2525300030,"47.362,-122.029",Southeast 267th Place,23404
1324059104,"47.5698,-122.121",Southeast 42nd Place,16417
2287000030,"47.5505,-122.221",Southeast 59th Street,8812
7702010030,"47.7605,-122.234",Northeast 182nd Place,7934
1529200340,"47.7356,-122.157",137th Lane Northeast,14898
2122039094,"47.3844,-122.438",Southwest 246th Street,8398
1742800030,"47.4904,-122.226",Raymond Place Northwest,540
1796360350,"47.3663,-122.089",189th Place Southeast,26222
6154500070,"47.5637,-122.123",162nd Lane Southeast,4598
1843100340,"47.3759,-122.125",Southeast 252nd Place,16138
8944290160,"47.3912,-122.167",130th Avenue Southeast,23441
4166600473,"47.3305,-122.371",30th Avenue Southwest,30304
7282300125,"47.7617,-122.357",North 183rd Street,185
8658300340,"47.6499,-121.909",East Rutherford Street,32247
2419600075,"47.7311,-122.353",North 141st Street,500
2621760350,"47.3701,-122.107",175th Place Southeast,25846
1723049270,"47.4857,-122.318",12th Avenue South,13120
4123840310,"47.3724,-122.042",224th Court Southeast,25518
2172000075,"47.4855,-122.266",56th Avenue South,13057
8651611170,"47.6336,-122.064",Northeast 27th Place,20547
8820902200,"47.717,-122.281",Lakeside Avenue Northeast,12060
8651610890,"47.6332,-122.066",204th Terrace Northeast,2561
1853080570,"47.5906,-122.062",Southeast 22nd Place,20800
3629920030,"47.5461,-121.998",Northeast Jewell Lane,2477
1604602050,"47.5674,-122.29",Letitia Avenue South,4020
6844700810,"47.6943,-122.29",Northeast 91st Street,3511
66000070,"47.5486,-122.38",38th Avenue Southwest,5956
6665800030,"47.6658,-122.188",114th Avenue Northeast,6510
2205700350,"47.5772,-122.153",140th Avenue Southeast,3724
5466000030,"47.3875,-122.161",135th Place Southeast,23915
6189200125,"47.6344,-122.174",Northeast 27th Street,12430
9169600135,"47.5275,-122.391",46th Avenue Southwest,8444
2625069070,"47.6179,-122.005",250th Avenue Northeast,992
8732131090,"47.3078,-122.378",Southwest 328th Place,3520
9286000240,"47.5521,-122.137",Saddleback Trail,NA
1895000260,"47.5158,-122.264",55th Avenue South,9630
8691370400,"47.5985,-121.977",271st Avenue SOutheast,1198
5423010350,"47.5645,-122.082",NA,NA
8562501040,"47.6734,-122.154",139th Place Northeast,7721
2475200140,"47.4734,-122.186",Southeast 8th Place,2470
